N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
156,한전KPS,"52,900","상승1,800",+3.52%,200,"23,805","45,000",12.36,"477,578",16.99,13.26,
157,RISE 머니마켓액티브,"54,515",상승5,+0.01%,0,"23,483","43,076",0.93,"338,748",N/A,N/A,
158,한국콜마,"99,400","상승2,700",+2.79%,500,"23,463","23,605",41.97,"278,642",24.19,12.50,
159,농심,"384,500","상승2,500",+0.65%,"5,000","23,388","6,083",18.26,"22,508",14.97,6.17,
160,아모레퍼시픽홀딩스,"29,150",상승250,+0.87%,500,"23,162","79,458",11.06,"152,286",10.36,7.57,
161,ACE 미국30년국채액티브(H),"7,765",하락10,-0.13%,0,"23,062","297,000",0.01,"1,411,332",N/A,N/A,
162,제일기획,"19,840",하락40,-0.20%,200,"22,824","115,041",23.29,"167,133",11.82,15.12,
163,한온시스템,"3,360",상승45,+1.36%,100,"22,806","678,763",5.17,"725,692",-4.87,-13.90,
164,한국앤컴퍼니,"23,950",상승50,+0.21%,500,"22,737","94,935",9.99,"49,016",6.46,8.28,
165,iM금융지주,"13,930",상승50,+0.36%,"5,000","22,574","162,055",44.86,"571,305",9.13,3.60,
166,KODEX CD1년금리플러스액티브(합성),"1,022,310",상승55,+0.01%,0,"22,448","2,196",0.00,"5,467",N/A,N/A,
167,미스토홀딩스,"37,100",상승550,+1.50%,"1,000","22,296","60,096",38.34,"92,942",23.74,4.30,
168,팬오션,"4,150",보합0,0.00%,"1,000","22,185","534,570",15.90,"779,347",7.93,5.17,
169,ACE 미국S&P500,"22,040",하락50,-0.23%,0,"21,996","99,800",0.10,"658,582",N/A,N/A,
170,TIGER 미국배당다우존스,"11,855",상승75,+0.64%,0,"21,410","180,600",0.08,"764,066",N/A,N/A,
171,신영증권,"128,900","상승1,100",+0.86%,"5,000","21,191","16,440",6.89,"10,569",19.51,6.45,
172,BGF리테일,"121,000","상승3,300",+2.80%,"1,000","20,914","17,284",28.47,"72,463",11.29,17.29,
173,더존비즈온,"68,200","하락1,400",-2.01%,500,"20,721","30,383",10.95,"199,654",38.57,12.17,
174,코리안리,"10,620",보합0,0.00%,500,"20,690","194,821",26.62,"209,110",5.85,9.45,
175,롯데쇼핑,"72,500","상승1,200",+1.68%,"5,000","20,509","28,289",9.39,"49,114",-1.99,-7.75,
176,일진전기,"42,750",상승350,+0.83%,"1,000","20,386","47,685",10.45,"325,853",36.11,10.60,
177,TIGER 머니마켓액티브,"100,905",상승10,+0.01%,0,"20,153","19,972",2.00,"127,603",N/A,N/A,
178,CJ대한통운,"88,200","상승1,900",+2.20%,"5,000","20,120","22,812",14.37,"51,142",8.56,6.58,
179,SK아이이테크놀로지,"28,150","상승1,100",+4.07%,"1,000","20,070","71,298",6.78,"289,836",-9.75,-10.41,
180,DB하이텍,"45,000",하락950,-2.07%,"5,000","19,979","44,399",27.96,"120,666",8.65,12.44,
181,씨에스윈드,"47,200",상승900,+1.94%,500,"19,905","42,171",12.56,"212,469",7.21,13.92,
182,동원산업,"45,000",상승100,+0.22%,"1,000","19,867","44,148",5.01,"28,256",25.14,2.74,
183,SNT다이내믹스,"59,400",상승700,+1.19%,"2,500","19,752","33,253",8.23,"107,740",19.55,12.90,
184,아시아나항공,"9,540",상승110,+1.17%,"5,000","19,652","205,991",2.79,"112,113",-8.67,-53.21,
185,한솔케미칼,"173,300","하락1,800",-1.03%,"5,000","19,644","11,335",34.53,"40,627",15.43,13.48,
186,KODEX 코스닥150레버리지,"8,920",상승135,+1.54%,0,"19,526","218,900",0.75,"22,690,617",N/A,N/A,
187,호텔신라,"49,250","상승2,250",+4.79%,"5,000","19,330","39,248",11.71,"653,519",-29.81,-6.50,
188,DL이앤씨,"47,900","상승1,750",+3.79%,"5,000","18,534","38,694",28.26,"408,052",8.81,4.77,
189,영원무역홀딩스,"135,200","상승3,000",+2.27%,500,"18,251","13,499",21.03,"8,389",5.56,13.17,
190,OCI홀딩스,"96,300","하락1,000",-1.03%,"5,000","18,119","18,815",17.39,"123,963",-23.40,2.54,
191,파라다이스,"18,850",상승530,+2.89%,500,"17,240","91,461",11.12,"1,127,463",21.42,4.97,
192,HD현대건설기계,"97,400","하락2,200",-2.21%,"5,000","17,203","17,662",18.17,"71,849",21.92,6.18,
